orden,id,nombre_original,nombre_alternativo,ruta_relativa,distancia_km,puntos,elevacion,elevacion_min_m,elevacion_max_m,es_circuito,estado_revision,observaciones_automaticas,sha256_geometria
83,gilles-083-cem-majestuosa-desde-arriba,CEM-majestuosa (desde arriba),,gilles-083-cem-majestuosa-desde-arriba/ruta.gpx,0.352,30,completa,1657.1,1790.1,no,pendiente,tramo-muy-corto,710d88be9f240c5a6f87d73d50b25c5e54f8cff30b54176951439906475d0b62
84,gilles-084-cem-por-la-cresta,CEM-por la cresta,,gilles-084-cem-por-la-cresta/ruta.gpx,1.396,86,ausente,,,no,pendiente,tramo-corto|sin-elevacion,1afedab8aea2cba5346babb342fdd7bdf9322eff7ca7c3179e8c6ae3adc49f05
85,gilles-085-cha-conexion,CHA-conexión,,gilles-085-cha-conexion/ruta.gpx,0.229,17,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|sin-elevacion,7ff6086259637b47a55eccb3c06db584e26b29c2288044839f5980679202e01f
86,gilles-086-cha-cumbre,CHA-cumbre,,gilles-086-cha-cumbre/ruta.gpx,1.279,60,ausente,,,no,pendiente,tramo-corto|sin-elevacion,aea6c086fdf823aafa2fa0cbe3d9fd9fec261cee5ec3336c1067103e241d7335
87,gilles-087-cor-cresta,COR-cresta,,gilles-087-cor-cresta/ruta.gpx,1.706,59,completa,1471.0,1642.0,no,pendiente,tramo-corto,fc1b3c74923a1d538b3d2fe8b4cb353ee8bc1ea29ba71a94c6296069b26e31c5
88,gilles-088-cor-cumbre,COR-cumbre,,gilles-088-cor-cumbre/ruta.gpx,2.275,113,completa,1671.9,1835.2,no,pendiente,,6b85ef7358b85889a0bc98141d15fc79f9dfdeaa514875c4e08b96a696e5d549
89,gilles-089-cor-oriente,COR-oriente,,gilles-089-cor-oriente/ruta.gpx,1.609,55,completa,1514.3,1599.4,no,pendiente,tramo-corto,eafef71c015aa60953b5eeb4450c87d9bbdbe5b96664b6cc867f2a293393e7e5
90,gilles-090-cor-poniente,COR-poniente,,gilles-090-cor-poniente/ruta.gpx,2.751,101,completa,1494.7,1758.0,no,pendiente,,1d727eb9fc64acc5b4384ec634319a1d42002be1354a78f87a46f50e327eb977
91,gilles-091-cor-principal,COR-principal,,gilles-091-cor-principal/ruta.gpx,4.761,133,completa,1476.1,1805.7,no,pendiente,,d47e90f070a48e712848dc14cdf63ef5a8a00651efb8dd14d9538d54c564d7c6
92,gilles-092-exvia,EXVIA,,gilles-092-exvia/ruta.gpx,31.718,599,completa,1777.8,2668.4,no,pendiente,nombre-ambiguo,13163e734b30ecca181535e7e6fed26c7f6c6e5c1a6426bb6d5bd771d7f16103
93,gilles-093-iba-amatlan,IBA-Amatlán,,gilles-093-iba-amatlan/ruta.gpx,3.618,37,completa,1299.9,1495.1,no,pendiente,,f8eb94dcd8b49ca906657d7a647bff4668a889fcea3de0c9e5d6224aea19e25a
94,gilles-094-luz-a-meztitla,Luz-a Meztitla,,gilles-094-luz-a-meztitla/ruta.gpx,1.177,70,ausente,,,no,pendiente,tramo-corto|sin-elevacion,64c121fec2b02e95e1580a07fe4e33fe7baf2bdcca61c06b3bad42365959f8dc
95,gilles-095-luz-a-tepoztlan,Luz-a Tepoztlán,,gilles-095-luz-a-tepoztlan/ruta.gpx,0.644,38,ausente,,,no,pendiente,tramo-corto|sin-elevacion,80fbdcf05a87e89ce1c3399fb6bc29a9beea23c99ca25380547b97cf1032c222
96,gilles-096-luz-atajo-a-la-cumbre,Luz-atajo a la cumbre,,gilles-096-luz-atajo-a-la-cumbre/ruta.gpx,0.184,18,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,70882cd1c4fee07b1b69731efd7689590755dfa1808b46005c9d2b5b603cd9ce
97,gilles-097-luz-atajo-a-la-vuelta,Luz-atajo a la vuelta,,gilles-097-luz-atajo-a-la-vuelta/ruta.gpx,0.469,24,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,40b45908ebc4060834408c26830bcc9dc3cd4463c3cc81ac60e54dbb26470513
98,gilles-098-luz-conexion-con-abajo,Luz-conexión con abajo,,gilles-098-luz-conexion-con-abajo/ruta.gpx,0.400,7,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|sin-elevacion,11ac05cec8a15bfd04450f40e89e345ec9321cf60ed2bba4c21f8c733641dab6
99,gilles-099-luz-conexion-desde-el-panteon,Luz-conexión desde el pantéón,,gilles-099-luz-conexion-desde-el-panteon/ruta.gpx,0.167,11,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|sin-elevacion,15e1dda04b2155b9a3af84739f4304b1516bea7a1ea710c41ce218b39450298f
100,gilles-100-luz-conexion-meztitla-tepoztlan,Luz-conexión Meztitla-Tepoztlán,,gilles-100-luz-conexion-meztitla-tepoztlan/ruta.gpx,0.522,29,ausente,,,no,pendiente,tramo-corto|posible-conector|sin-elevacion,35ede26596c03356902744ba6c66a054776952b2d1a1205a7fa4734673e30f9d
101,gilles-101-luz-cumbre,Luz-cumbre,,gilles-101-luz-cumbre/ruta.gpx,0.404,17,completa,2346.5,2363.4,no,pendiente,tramo-muy-corto,8f445ce9c2a3a73ff9ff014651e021f62862171afb89d1af97585b5f8623951e
102,gilles-102-luz-del-ac-a-la-vuelta,Luz-del AC a la vuelta,,gilles-102-luz-del-ac-a-la-vuelta/ruta.gpx,0.568,27,completa,2258.2,2336.9,no,pendiente,tramo-corto,4f20ecd83ed4ce2c33114342241066a0a4dfa3670eb25df1f63153c038b8936d
103,gilles-103-luz-entrada,Luz-entrada,,gilles-103-luz-entrada/ruta.gpx,0.853,20,ausente,,,no,pendiente,tramo-corto|sin-elevacion,2403a2a91f0c437e5948b34c6dd2a74c0278491920214b0ff2ead8a74a2626dd
104,gilles-104-luz-lateral-abajo-de-1,Luz-lateral abajo de 1,,gilles-104-luz-lateral-abajo-de-1/ruta.gpx,1.624,90,ausente,,,no,pendiente,tramo-corto|nombre-con-sufijo-numerico|sin-elevacion,3a5469cda2798b8236c9b2132e3331a5f7269ff7b696f9d845ed5a0e5b563843
105,gilles-105-luz-panteon-1,Luz-panteón-1,,gilles-105-luz-panteon-1/ruta.gpx,0.208,15,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,92bc3d0a54b57d2433629f369ad54c5339312874693d7d0b9325e7c8ff506f02
106,gilles-106-luz-panteon-2,Luz-panteón-2,,gilles-106-luz-panteon-2/ruta.gpx,0.483,9,completa,2312.9,2351.0,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico,f2c9e49cf56c428027ee0b77432e3d0c6b814901dfb3dedba42003beb5b04e93
107,gilles-107-luz-panteon-3,Luz-panteón-3,,gilles-107-luz-panteon-3/ruta.gpx,0.242,13,ausente,,,no,pendiente,tramo-muy-corto|nombre-con-sufijo-numerico|sin-elevacion,3211d6e8a8182d23b7b04dc5ef310bf5674b5a7787e0a890f10fe81bb310fd54
108,gilles-108-luz-por-la-cuspide,Luz-por la cúspide,,gilles-108-luz-por-la-cuspide/ruta.gpx,0.263,19,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,ca629d34609cd64bd3d2e442b1a0acbd289ac3841692fff06939f25da7ea67e0
109,gilles-109-luz-vuelta,Luz-vuelta,,gilles-109-luz-vuelta/ruta.gpx,2.022,86,completa,2274.8,2351.0,si,pendiente,circuito-cerrado,1141a52d731539cf8e7b5c895fb8ba83f3df46b9848c4a9f237ba50c1eca9194
110,gilles-110-mez-al-muro-de-cactus,MEZ-al muro de cactus,,gilles-110-mez-al-muro-de-cactus/ruta.gpx,1.527,30,ausente,,,no,pendiente,tramo-corto|sin-elevacion,b563a7e5e706380fbfcc59ca438e5ad0ce20e5ace7c019d696a5a5239814f2fd
111,gilles-111-mez-atongo-a-meztitla,MEZ-Atongo a Meztitla,,gilles-111-mez-atongo-a-meztitla/ruta.gpx,1.023,13,ausente,,,no,pendiente,tramo-corto|sin-elevacion,2063d0b237da014453d086648e3a6275b3fbd22b702746953e200e0c9daad958
112,gilles-112-mez-bajada,MEZ-bajada,,gilles-112-mez-bajada/ruta.gpx,0.185,13,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,13c9f39d50c4cbd35d6ed2b92e1ca3468902ed127de961df9ee7fa8a97e4d1c6
113,gilles-113-mez-camino-a-meztitla,MEZ-camino a Meztitla,,gilles-113-mez-camino-a-meztitla/ruta.gpx,0.643,9,ausente,,,no,pendiente,tramo-corto|sin-elevacion,ecce5b5e378e73870f4e39fc92f88fbbae6ae4258c7dc3924b3377e7fda031bc
114,gilles-114-mez-entrada-central,MEZ-entrada central,,gilles-114-mez-entrada-central/ruta.gpx,0.451,4,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,052ee09c588c628987404d493d55d8b4e313a7579e53ed0161d504f4d69b67ec
115,gilles-115-mez-entrada-oriente,MEZ-entrada oriente,,gilles-115-mez-entrada-oriente/ruta.gpx,0.577,17,ausente,,,no,pendiente,tramo-corto|sin-elevacion,12d3c7f446d23c6f99e85e9e6dac547611b5a759c15162589e4f3b3ba56ac65d
116,gilles-116-mez-por-el-arroyo,MEZ-por el arroyo,,gilles-116-mez-por-el-arroyo/ruta.gpx,0.263,13,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,0afa188d8e79075fca22d648a576e857a0a70db3abace1580372be59f493f96e
